mpid	log(PF_p*10^9)	mean_Number
mp-8890	6.482873584	31.57142857
mp-24340	5.611723308	13
mp-541339	5.761175813	6.5
mp-774105	5.883093359	14.94736842
mp-607931	5.460897843	17.14285714
mp-556878	6.252853031	27.5
mp-707311	5.728353782	8.8
mp-644409	5.982271233	8
mp-556137	5	10.69565217
mp-558603	5.419955748	11.06666667
mp-707135	5.69019608	10
mp-561058	5.130333768	11.28571429
mp-864891	5.374748346	10
mp-505396	5.037426498	22.44444444
mp-695316	5.305351369	7.363636364
mp-722278	5.7930916	11.09090909
mp-41795	5.889861721	9
mp-6695	5.613841822	17.27272727
mp-706426	5.636487896	8.588235294
mp-28883	5.748188027	11.8
mp-707840	5.209515015	5.238095238
mp-554539	5.245512668	11.16666667
mp-28559	5.958085849	7.44
mp-695965	5.071882007	8.583333333
mp-24683	5.571708832	13.71428571
mp-643776	6.11058971	10.73684211
mp-18308	5.862727528	13.38461538
mp-30942	4.029383778	15.17647059
mp-9230	5.893761762	14
mp-626735	5.614897216	10.5
mp-24712	5.298853076	5.454545455
mp-707392	5.380211242	5.644444444
mp-558087	5.824125834	10.88888889
mp-558279	6.511883361	31.16666667
mp-753979	6.861534411	16.90909091
mp-759720	6.238046103	12
mp-849391	5.824776462	8.125
mp-559537	4.992553518	11.10344828
mp-560235	5.630427875	13.77586207
mp-758225	6.330413773	40.27027027
mp-720825	5.309630167	6.363636364
mp-27896	5.037426498	8
mp-24391	5.522444234	4.5625
mp-752452	6.167317335	18.44444444
mp-721067	5.008600172	6.923076923
mp-730154	5.037426498	12.26666667
mp-707732	5.383815366	7.829787234
mp-740710	4.992553518	6.740740741
mp-540731	5.369215857	4.564102564
mp-699447	5.113943352	8.625
mp-706543	5.781755375	10.26666667
mp-6097	5.742725131	6.666666667
mp-29871	4.968482949	11.8
mp-560715	6.539076099	21.17647059
mp-22328	5.315970345	21.11111111
mp-756510	5.64246452	14.44444444
mp-24272	5.225309282	5.534883721
mp-14726	5.378397901	10.88888889
mp-21532	5.530199698	21.27272727
mp-569308	6.204119983	36.92857143
mp-17823	6.380211242	26.125
mp-554344	4.882524538	6.666666667
mp-729903	5.257678575	6.928571429
mp-23079	5.79518459	14
mp-31073	5.613841822	7.454545455
mp-720430	5.33243846	5.7
mp-706291	5.519827994	7.481481481
mp-696379	5.260071388	5.777777778
mp-557399	6.924279286	15.75
mp-560898	5.913283902	16.83333333
mp-720849	6.791690649	9.1
mp-541582	6.812244697	47.66666667
mp-19125	5.936513742	16.44444444
mp-557871	5.748188027	25.14285714
mp-707960	6.139879086	6.56
mp-768417	5.866287339	18.8
mp-781753	4.994756945	9.538461538
mp-766175	5.830588669	12.93333333
mp-707977	6.100370545	10
mp-770474	6.378397901	20.52631579
mp-697033	5.411619706	10.36363636
mp-722267	5.51851394	10.05882353
mp-561502	5.836324116	23
mp-768875	5.158362492	5.789473684
mp-23724	5.946943271	8.333333333
mp-31268	6.326335861	38.25
mp-756721	6.367355921	35
mp-560314	5.523746467	9.125
mp-561622	5.995196292	31.75
mp-768890	6.100370545	5.636363636
mp-541819	6.298853076	24.04761905
mp-24452	5.984077034	7
mp-604964	5.930949031	4.736842105
mp-768355	5.100370545	20
mp-29443	6.687528961	40.33333333
mp-504598	6.093421685	34.4
mp-756718	6.413299764	19.81818182
mp-556331	5.625312451	31.7
mp-18772	6.025305865	12.88888889
mp-758996	5.608526034	7.929824561
mp-541818	6.5132176	22.68181818
mp-752692	6.555094449	20.8
mp-556517	6.096910013	27.2
mp-554421	6.822821645	22.57142857
mp-722397	5.586587305	5.461538462
mp-677734	4	11.24137931
mp-543056	5.526339277	11.65853659
mp-760017	6.691965103	8.666666667
mp-504811	6.559906625	35.23076923
mp-698289	7.164352856	9.3
mp-24273	5.555094449	6.186046512
mp-572874	4.831229694	4.08
mp-722467	5.575187845	8.341463415
mp-541106	6.411619706	35.27272727
mp-554370	6.761927838	16.44444444
mp-22325	5.939519253	22.72727273
mp-764374	4.986771734	12.4
mp-559627	6.475671188	14.42857143
mp-555960	4.686636269	10
mp-673118	6.603144373	15.33333333
mp-9692	6.315970345	28.66666667
mp-541667	6.549003262	35.8
mp-24026	6.264817823	4.461538462
mp-778633	4.834420704	11
mp-765294	5.942999593	9.230769231
mp-24345	6.176091259	6.296296296
mp-766168	6.649334859	14.53333333
mp-622262	6.582063363	45.9
mp-24433	6.42975228	13
mp-531051	5.975431809	15.6
mp-768871	6.523746467	19.35135135
mp-504211	6.605305046	12.14285714
mp-696085	5.551449998	7.037037037
mp-584134	6.359835482	15.63636364
mp-703521	6.093421685	6.666666667
mp-675606	6.597695186	12.6
mp-567743	6.940516485	31.88888889
mp-561005	6.322219295	24.38709677
mp-620404	6.707570176	15.42857143
mp-756683	6.29666519	31.16666667
mp-29597	6.761175813	19
mp-759553	5.997823081	8.88
mp-768284	5.98721923	8.631578947
mp-554701	5.252853031	13.6
mp-673071	6.421603927	11.83333333
mp-780421	5.980003372	18.8
mp-769046	6.195899652	16.72727273
mp-6999	6.549003262	16.66666667
mp-766303	6.164352856	44.66666667
mp-29542	5.888740961	25.63636364
mp-557829	6.650307523	25.3
mp-769271	5.887054378	24.66666667
mp-697734	5.779596491	11.44444444
mp-27184	6.699837726	19.18918919
mp-9481	6.820201459	25
mp-759408	6.376576957	6.545454545
mp-778756	5.485721426	9.166666667
mp-733858	6.117271296	10.57142857
mp-19015	6.408239965	14.5
mp-560249	5.942999593	4.714285714
mp-10560	6.641474111	31.3
mp-647556	6.158362492	20.49056604
mp-27736	7.123851641	32.14285714
mp-680482	5.786751422	37.7
mp-765150	6.85308953	17.2
mp-754462	6.707570176	23.22222222
mp-766457	5.514547753	12.63636364
mp-557285	5.940516485	25.92105263
mp-722864	5.607455023	7.925925926
mp-707772	4.198657087	6.352941176
mp-559304	6.6599162	25
mp-757490	6.488550717	14.28571429
mp-580748	6.818225894	47.25
mp-558747	6.772321707	24.75
mp-10559	6.625312451	31.9
mp-769014	6.40654018	22
mp-43114	5.990782692	11.33333333
mp-674373	6.503790683	28.54545455
mp-560891	4.681241237	17.14285714
mp-31060	6.10720997	15.31818182
mp-556085	6.605305046	26.75
mp-756277	6.608526034	30.27272727
mp-697742	6.537819095	11.1
mp-558571	6.505149978	20.3
mp-10791	5.761175813	19.4
mp-554852	6.605305046	22.1
