mpid,formula,crystal_system,e_hull,band_gap,formation,space_group
mp-1193210,Pb3Se2(IO3)2,2,0,2.633,-1.342586609,15
mp-1195277,Na2Mo2Se2O11,2,0,2.7772,-1.784468104,15
mp-972384,V2Se2O11,2,0,2.1812,-1.572733383,15
mp-1190160,K2Se2O7,2,0,3.0355,-1.54806607,15
mp-560263,Pr4Se3(O5F3)2,2,0,4.0058,-2.976467014,15
mp-1105809,Ce4Se3N2,2,0,0.0143,-2.290264344,15
mp-607806,Ho3Se3N,2,0,1.5205,-2.164040695,15
mp-1201169,P4Se3Br2,2,0,2.0653,-0.466243625,15
mp-1193554,Bi2Se3O10,2,0,3.2263,-1.416242787,15
mp-1205351,La4Se3N2,2,0,1.6577,-2.106673152,15
mp-7293,HgPSe3,2,0,1.2066,-0.181591272,15
mp-573581,Na2TeSe3,2,0,1.2031,-0.76478738,15
mp-567913,CsAuSe3,2,0,1.1919,-0.774623439,15
mp-1193194,Cs3GeSe3,2,0,1.6321,-1.190117891,15
mp-29745,Na2Mn2Se3,2,0,0.0,-1.133807604,15
mp-31303,Pr4Se3N2,2,0,1.3742,-2.000509451,15
mp-866716,RbLiH12Se3N4,2,0,0.8006,-0.590043872,15
mp-29194,Cs2Au2Se3,2,0,1.4734,-0.877387744,15
mp-30292,Nd4Se3N2,2,0,1.371,-2.030187313,15
mp-567734,AlAs3(SeCl)4,2,0,2.3258,-1.030452068,15
mp-1198048,Li2Cu3(Se2O7)2,2,0,0.6886,-1.310141319,15
mp-28334,Tl4SiSe4,2,0,1.5277,-0.669363584,15
mp-1195606,K2Zn3(SeO3)4,2,0,4.126,-1.627557376,15
mp-1189341,HfTl2PbSe4,2,0,0.6334,-1.050959443,15
mp-1189464,ZrTl2PbSe4,2,0,0.699,-1.052548886,15
mp-1195934,Na2Zn3H4(Se2O7)2,2,0,4.0703,-1.519057702,15
mp-1105692,Tl2Hg3Se4,2,0,1.0357,-0.329950313,15
mp-505798,Na4TiSe4,2,0,1.5273,-1.335474888,15
mp-27441,Au2Se4O11,2,0,1.4326,-0.591782494,15
mp-1196396,Tl4GeSe4,2,0,1.0793,-0.601362988,15
mp-1199265,Nb2Pb2Se4O15,2,0,2.6621,-1.888478024,15
mp-1198565,CuPb5Se4(ClO3)4,2,0,0.6854,-1.423966187,15
mp-541880,Rb2Ge2Se5,2,0,1.54,-0.960065381,15
mp-8966,K2Sn2Se5,2,0,0.8429,-0.982770608,15
mp-1209497,Rb2Si2Se5,2,0,2.3052,-1.0964671,15
mp-30100,Li2B2Se5,2,0,1.7047,-0.622424615,15
mp-9322,Rb2Sn2Se5,2,0,0.8433,-0.991024071,15
mp-542550,Cs2Si2Se5,2,0,2.4621,-1.121629968,15
mp-540818,Tl2Ge2Se5,2,0,1.4126,-0.610636713,15
mp-541355,Rb2(TcSe2)3,2,0,0.899,-0.999386007,15
mp-541060,K2(ReSe2)3,2,0,1.1361,-0.793381618,15
mp-557389,KMn5(SeO3)6,2,0,0.4471,-1.653382572,15
mp-10973,K2Ga3CuSe6,2,0,1.4218,-1.038116074,15
mp-541354,K2(TcSe2)3,2,0,0.8983,-0.888616077,15
mp-21713,K2In3CuSe6,2,0,1.1284,-0.97760566,15
mp-541059,Rb2(ReSe2)3,2,0,1.0359,-0.921010347,15
mp-1195170,Ni5H2Se6(ClO4)4,2,0,3.0001,-1.238584631,15
mp-616190,Tl2(ReSe2)3,2,0,0.8682,-0.502335278,15
mp-1196650,Na2(ReSe2)3,2,0,1.281,-0.855060654,15
mp-21705,K2In3AgSe6,2,0,1.4829,-0.981666272,15
mp-1194583,Ba3Sb2Se7,2,0,0.9486,-1.445342733,15
mp-16184,Rb2B2Se7,2,0,1.4887,-0.819878586,15
mp-1195632,ErTl2P2Se7,2,0,1.0722,-0.850222098,15
mp-542637,K2B2Se7,2,0,1.6406,-0.613718249,15
mp-1210225,Na5AgGe2Se7,2,0,1.1633,-0.95141801,15
mp-16961,Na6Si2Se7,2,0,2.1551,-1.096458159,15
mp-1195538,K2ScP2Se7,2,0,1.7243,-1.079283102,15
mp-5004,Na2B2Se7,2,0,1.4882,-0.713530353,15
mp-18100,Na6Ge2Se7,2,0,1.5871,-1.056078253,15
mp-16183,Tl2B2Se7,2,0,1.2951,-0.287256754,15
mp-1200105,K3Ta2Cu3Se8,2,0,1.987,-1.07835113,15
mp-1199633,Cs3Ag(AsSe2)4,2,0,1.6043,-0.751734754,15
mp-1202743,K3Nb2Cu3Se8,2,0,1.6021,-1.070884474,15
mp-582161,K3Ta2Ag3Se8,2,0,2.076,-1.041728628,15
mp-569862,Rb4P2Se9,2,0,1.4231,-0.945126764,15
mp-28256,V2Se9,2,0,0.722,-0.458509798,15
mp-569193,Cs4P2Se9,2,0,1.4458,-0.970384859,15
mp-583221,Ba7B4Se13,2,0,2.1147,-1.541746208,15
mp-650137,Cs4Re6Se13,2,0,1.0022,-0.931225178,15
mp-1200567,Cs4Hf3Se14,2,0,1.6894,-1.355873733,15
mp-768674,Cs4Zr3Se14,2,0,1.2226,-1.367582424,15
mp-542013,Rb4Zr3Se14,2,0,1.2338,-1.346294262,15
mp-1195193,Ag12Sn7H16(Se11N2)2,2,0,0.2223,-0.480199286,15
mp-2503,Pd7Se4,3,0,0.0,-0.300688745,18
mp-568525,Sr2SnSe5,3,0,0.908,-1.36031797,18
mp-23843,LiHSeO3,3,0,4.3019,-1.600788014,19
mp-29172,SeF4,3,0,4.1424,-1.762631333,19
mp-568936,Ag2Se,3,0,0.0,-0.217600815,19
mp-559961,Tl2SeO4,3,0,3.3241,-1.230827705,19
mp-757836,BeH2SeO4,3,0,4.8312,-1.719550853,19
mp-696794,RbHSeO4,3,0,3.6244,-1.503394664,19
mp-556378,BiSeClO3,3,0,3.5272,-1.473090818,19
mp-561328,SbSe(BrF2)3,3,0,2.5975,-1.943194246,19
mp-27996,H2SeO3,3,0,4.4855,-0.896520562,19
mp-1188652,TmAgSe2,3,0,1.7247,-1.424187275,19
mp-1181462,DyAgSe2,3,0,1.306,-1.43680077,19
mp-12955,HoAgSe2,3,0,1.2712,-1.432807804,19
mp-4044,ErAgSe2,3,0,1.2801,-1.43245458,19
mp-24574,NdH5(SeO4)2,3,0,4.4543,-1.716539023,19
mp-1188559,YAgSe2,3,0,1.2798,-1.43583753,19
mp-24335,YH5(SeO4)2,3,0,4.4317,-1.723056742,19
mp-558521,B2Se2O7,3,0,3.9418,-1.901219639,19
mp-24022,RbH3(SeO3)2,3,0,4.1504,-1.402955511,19
mp-28476,SrBiSe3,3,0,0.4969,-1.30553579,19
mp-13956,Ag2PSe3,3,0,0.8588,-0.336364039,19
mp-27365,BaBiSe3,3,0,0.7321,-1.327108726,19
mp-1204655,SrSbSe3,3,0,0.3581,-1.24348197,19
mp-1197024,FeBi(SeO3)3,3,0,2.6249,-1.438638885,19
mp-18585,RbAgSe4,3,0,1.1614,-0.696023,19
mp-1192812,CsSmGeSe4,3,0,1.6665,-1.42983281,19
mp-18105,CsAgSe4,3,0,1.2669,-0.714376624,19
mp-567873,RbSmGeSe4,3,0,1.6011,-1.413003708,19
mp-573969,CsCeSiSe4,3,0,0.2913,-1.51128422,19
mp-17095,CsCuSe4,3,0,1.1049,-0.738531835,19
mp-18365,RbCuSe4,3,0,1.0105,-0.722637222,19
mp-18609,K2Se5,3,0,0.9323,-0.684439074,19
mp-541055,Cs2Se5,3,0,0.9618,-0.943787891,19
mp-650178,Se5SO3F,3,0,1.4116,-0.942392359,19
mp-620372,Rb2Se5,3,0,0.8362,-0.918578355,19
mp-570622,NaGa3Se5,3,0,1.9413,-0.993323243,19
mp-31307,Ba2SnSe5,3,0,1.1384,-1.511799299,19
mp-571057,KY(PSe3)2,3,0,1.8811,-1.067687339,19
