mpid,formula,num_sites,crystal_system,e_hull,band_gap,formation,space_group
mp-19375,CeCrSe2O,10,2,0.0125552794999981,0.0,-2.0692893044375,12
mp-1217118,Ti3(TeSe)2,7,2,0.0103013492857062,0.0,-1.2118051340029763,12
mp-1078159,Ce2Fe(SeO)2,7,2,0.0756092857142842,0.0,-2.4646968142410706,12
mp-569623,Nb(SeBr)2,10,2,0.0030342744666613,0.9702000000000002,-1.1947289029375,12
mp-1078132,La2Fe(SeO)2,7,2,0.0376516028571023,1.1414,-2.600127722812501,12
mp-1219343,ScCuSe2,8,2,0.0,0.7120000000000006,-1.2877515370312498,12
mp-1226346,Cr3(TeSe)2,7,2,0.0093910597619046,0.0,-0.5981943511458313,12
mp-1061769,CrSe2,3,2,0.0153837766666677,0.0,-0.7531734615624982,12
mp-570268,MnSbSe2I,10,2,0.0043300184999983,0.5351999999999997,-0.6235403825237071,12
mp-1205855,LaCrSe2O,10,2,0.0126293274999964,0.0,-2.1374465144375008,12
mp-1220382,Nb5(SeS)2,9,2,0.0075922905420036,0.0,-0.9809551144097226,12
mp-1205627,Nb(SeI)2,10,2,0.0,0.9815999999999998,-0.9320198679375012,12
mp-1232150,MgScSe3,10,2,0.2915405212499999,0.0,-1.33802458340625,12
mp-1232305,YMgSe3,10,2,0.2900103924999992,0.0,-1.42593375940625,12
mp-1078443,As2Se3,10,2,0.0273298715000009,0.6002999999999998,-0.1121529824374988,12
mp-1237926,LuMgSe3,10,2,0.328991306999999,0.0,-1.3737906357395837,12
mp-1232136,PrMgSe3,10,2,0.3883874649999983,0.0,-1.3658005667395827,12
mp-30291,Tb4Se3N2,9,2,0.0,1.3453,-2.057414417077545,12
mp-1237948,PmMgSe3,10,2,0.3709155774999972,0.0,-1.3802270459062498,12
mp-1215598,Zr2Se3,10,2,0.0,0.0,-1.5826493064375,12
mp-1232282,NdMgSe3,10,2,0.3806637315000012,0.0,-1.3728777749062495,12
mp-1029349,Y4Se3N2,9,2,0.0,1.3943000000000003,-2.1289141994097225,12
mp-1247463,Fe4Se3N2,9,2,0.2310350627777762,0.0,-0.244517171892361,12
mp-1232259,CeMgSe3,10,2,0.2566451079999972,0.1546000000000003,-1.482840639406249,12
mp-1237966,SmMgSe3,10,2,0.3656585979000013,0.0,-1.38016568440625,12
mp-1237970,MgInSe3,10,2,0.266365533750001,0.0,-0.7754674887395829,12
mp-1079754,NiPSe3,10,2,0.0537216489999998,0.0,-0.1743491095327385,12
mp-1232140,HoMgSe3,10,2,0.3287015215000011,0.0,-1.3840985854062489,12
mp-1232151,TmMgSe3,10,2,0.3273208737499997,0.0,-1.381498284406251,12
mp-1101069,CrPSe3,10,2,0.0415223989999997,0.0,-0.544384630334821,12
mp-1238023,DyMgSe3,10,2,0.2958688270000023,0.0,-1.4243380837395825,12
mp-1232143,LaMgSe3,10,2,0.402552690000002,0.0,-1.4309204924062506,12
mp-1232145,ErMgSe3,10,2,0.32935558425,0.0,-1.3843765194062492,12
mp-1237963,TbMgSe3,10,2,0.3435537506666648,0.0,-1.3872292337395833,12
mp-11800,Co3Se4,7,2,0.0457715149999984,0.0,-0.3040406323214292,12
mp-7443,Nb2CrSe4,7,2,0.0533041390476194,0.0,-1.0046557756249987,12
mp-1025291,Ti(NbSe2)2,7,2,0.0315352828571411,0.0,-1.2190243346726188,12
mp-1078249,Co(RhSe2)2,7,2,0.0535225893253894,0.0,-0.3997521381746075,12
mp-5090,Ti2FeSe4,7,2,0.0604602599999992,0.0,-1.1621211365773811,12
mp-1078113,V(FeSe2)2,7,2,0.0796449285714304,0.0,-0.6418681770535711,12
mp-1208265,Ti2CrSe4,7,2,0.0174362041269784,0.0,-1.228798368005952,12
mp-1025151,Cr2NiSe4,7,2,0.0312136169047656,0.0,-0.6979948156249998,12
mp-573,Ni3Se4,7,2,0.0459973921428567,0.0,-0.3133304637499999,12
mp-1025318,Co(NiSe2)2,7,2,0.0306411833333317,0.0,-0.3255147697023761,12
mp-1025182,V2FeSe4,7,2,0.0283061911428674,0.0,-0.835282899910714,12
mp-1078162,Fe(RhSe2)2,7,2,0.0450417121428587,0.0,-0.5924629027678563,12
mp-1077978,Ti3Se4,7,2,0.0120632485714287,0.0,-1.4713704513392858,12
mp-1078200,V2CoSe4,7,2,0.0241232046428603,0.0,-0.746893954678565,12
mp-2650313,Fe2NiSe4,7,2,0.0716487636904759,0.0,-0.5172708727678567,12
mp-1077996,Cr(RhSe2)2,7,2,0.0432057465476205,0.0,-0.6581184199107142,12
mp-1025203,Ti2VSe4,7,2,0.0165253209523763,0.0,-1.305396813720238,12
