mpid,formula,num_sites,crystal_system,e_hull,band_gap,formation,space_group
mp-1026347,Te2W3(SeS)2,9,5,0.06462249388888708,0.0,-0.46974742152777554,156
mp-2223655,MgTe2MoW2(SeS)2,10,5,0.28667435087500426,0.22519999999999984,-0.6773909978020825,156
mp-1025956,Te2Mo2W(SeS)2,9,5,0.13361998722221813,0.3221000000000003,-0.5131291398611147,156
mp-2239994,MgTe2MoW2(SeS)2,10,5,0.3281849538750041,0.13610000000000033,-0.6358803948020821,156
mp-1025731,Te2Mo2W(SeS)2,9,5,0.1053054816666652,0.0,-0.5414436454166681,156
mp-1026002,Te2Mo3(SeS)2,9,5,0.05338348444444563,0.0,-0.6208864881944451,156
mp-1025834,Te2Mo(WSe2)2,9,5,0.11827299666667201,0.020199999999999996,-0.38659726291665997,156
mp-1025754,Te2Mo2WSe4,9,5,0.10892152999998927,0.01670000000000016,-0.4447211751388933,156
mp-1025747,Te2MoW2(SeS)2,9,5,0.08792027833331773,0.0,-0.5100564031944543,156
mp-2240100,MgTe2Mo2W(SeS)2,10,5,0.3127595890000032,0.0,-0.6848761358020831,156
mp-1025881,Te2Mo2W(SeS)2,9,5,0.13312279166666485,0.0253000000000001,-0.5136263354166696,156
mp-1025933,Te2Mo2W(SeS)2,9,5,0.10634583722222146,0.0,-0.540403289861113,156
mp-2227994,MgTe2MoW2(SeS)2,10,5,0.325020307875004,0.0,-0.6390450408020826,156
mp-1026348,Te2W3Se4,9,5,0.035752304444439886,0.1471,-0.40551118902777716,156
mp-1025888,Te2MoW2(SeS)2,9,5,0.13624787277775852,0.0,-0.46172880875001154,156
mp-2227516,MgTe2MoW2(SeS)2,10,5,0.3564773648750039,0.0,-0.6075879838020825,156
mp-1025722,Te2MoW2(SeS)2,9,5,0.1153199361110957,0.0,-0.48265674541667636,156
mp-1025779,Te2Mo2WSe4,9,5,0.10897142444443375,0.005700000000000038,-0.4446712806944472,156
mp-1217371,Te3Mo2Se,6,5,0.01765092833333526,0.8305000000000007,-0.40036210734374816,156
