mpid,log(PF_n*10^7),maximum NdUnfilled
mp-9770,7.049218023,0
mp-36600,7.049218023,0
mp-5966,7.049218023,0
mp-10913,7.049218023,0
mp-27373,7.049218023,0
mp-2511,7.049218023,0
mp-12341,7.049218023,0
mp-866850,7.049218023,0
mp-541771,7.049218023,3
mp-4979,7.049218023,0
mp-22939,7.049218023,0
mp-7434,7.049218023,0
mp-8298,7.049218023,0
mp-643270,7.049218023,0
mp-608014,7.049218023,0
mp-14628,7.049218023,0
mp-571559,7.049218023,0
mp-571568,7.049218023,0
mp-624417,7.049218023,0
mp-13974,7.049218023,0
mp-569677,7.049218023,0
mp-570594,7.049218023,0
mp-754929,7.049218023,0
mp-774336,7.049218023,0
mp-1559,7.049218023,0
mp-830,7.049218023,0
mp-571281,7.049218023,0
mp-559200,7.049218023,0
mp-563,7.049218023,0
mp-673669,7.045322979,0
mp-556916,7.045322979,0
mp-14447,7.045322979,0
mp-570803,7.045322979,0
mp-754991,7.045322979,0
mp-23100,7.045322979,9
mp-524,7.045322979,0
mp-541687,7.045322979,0
mp-653561,7.045322979,0
mp-556666,7.045322979,0
mp-638005,7.045322979,0
mp-21575,7.045322979,0
mp-16610,7.045322979,4
mp-17786,7.045322979,0
mp-18101,7.045322979,0
mp-8754,7.045322979,0
mp-553903,7.045322979,0
mp-541375,7.045322979,0
mp-759825,7.045322979,0
mp-772025,7.045322979,7
mp-570858,7.045322979,0
mp-754478,7.045322979,8
mp-21510,7.045322979,0
mp-677072,7.045322979,0
mp-8016,7.045322979,0
mp-552604,7.045322979,9
mp-643651,7.045322979,0
mp-675199,7.045322979,0
mp-675022,7.045322979,0
mp-676561,7.045322979,0
mp-570695,7.045322979,0
mp-625557,7.045322979,0
mp-20072,7.045322979,9
mp-29585,7.045322979,0
mp-754537,7.045322979,9
mp-642847,7.045322979,3
mp-864675,7.045322979,0
mp-568954,7.045322979,0
mp-570311,7.045322979,0
mp-383,7.045322979,0
mp-22925,7.045322979,0
mp-560328,7.045322979,0
mp-21567,7.045322979,0
mp-10378,7.045322979,0
mp-1266,7.045322979,0
mp-22052,7.045322979,0
mp-530303,7.041392685,0
mp-624234,7.041392685,0
mp-756801,7.041392685,0
mp-7657,7.041392685,0
mp-28606,7.041392685,0
mp-573150,7.041392685,0
mp-768734,7.041392685,0
mp-16961,7.041392685,0
mp-3922,7.041392685,0
mp-7293,7.041392685,0
mp-680384,7.041392685,0
mp-559961,7.041392685,0
mp-676988,7.041392685,8
mp-766276,7.041392685,0
mp-757115,7.041392685,0
mp-766341,7.041392685,0
mp-540805,7.041392685,0
mp-754897,7.041392685,0
mp-23496,7.041392685,0
mp-622171,7.041392685,7
mp-11116,7.041392685,9
mp-13949,7.041392685,0
mp-15776,7.041392685,0
mp-4809,7.041392685,0
mp-557322,7.041392685,0
mp-5782,7.041392685,0
mp-28247,7.041392685,1
